id;test_run_id;ts;ts_iso;source;view;band;ssid;channel;client_count;rssi_dbm;link_speed_mbps
73;3;1785915164.8940835;2026-08-05T07:32:44.894+00:00;master;router;2.4GHz;TestWLAN-2G;1;0;;
74;3;1785915165.1079702;2026-08-05T07:32:45.107+00:00;master;router;5GHz;TestWLAN-5G;60;2;;
75;3;1785915165.1674714;2026-08-05T07:32:45.167+00:00;master;router;6GHz;FRITZ! Gastzugang;1;0;;
76;3;1785915165.841828;2026-08-05T07:32:45.841+00:00;master;client;5GHz;TestWLAN-5G;60;;-58;2162.0
77;3;1785915192.6734407;2026-08-05T07:33:12.673+00:00;master;router;2.4GHz;TestWLAN-2G;1;0;;
78;3;1785915192.8167803;2026-08-05T07:33:12.816+00:00;master;router;5GHz;TestWLAN-5G;60;2;;
79;3;1785915192.8762476;2026-08-05T07:33:12.876+00:00;master;router;6GHz;FRITZ! Gastzugang;1;0;;
80;3;1785915193.4468193;2026-08-05T07:33:13.446+00:00;master;client;5GHz;TestWLAN-5G;60;;-60;1922.0
81;3;1785915222.7158642;2026-08-05T07:33:42.715+00:00;master;router;2.4GHz;TestWLAN-2G;1;0;;
82;3;1785915222.9346535;2026-08-05T07:33:42.934+00:00;master;router;5GHz;TestWLAN-5G;60;2;;
83;3;1785915222.9658802;2026-08-05T07:33:42.965+00:00;master;router;6GHz;FRITZ! Gastzugang;1;0;;
84;3;1785915223.707242;2026-08-05T07:33:43.707+00:00;master;client;5GHz;TestWLAN-5G;60;;-56;1922.0
85;3;1785915252.6777883;2026-08-05T07:34:12.677+00:00;master;router;2.4GHz;TestWLAN-2G;1;0;;
86;3;1785915252.8121018;2026-08-05T07:34:12.812+00:00;master;router;5GHz;TestWLAN-5G;60;2;;
87;3;1785915252.9139013;2026-08-05T07:34:12.913+00:00;master;router;6GHz;FRITZ! Gastzugang;1;0;;
88;3;1785915253.6021378;2026-08-05T07:34:13.602+00:00;master;client;5GHz;TestWLAN-5G;60;;-54;2162.0
89;3;1785915282.6728127;2026-08-05T07:34:42.672+00:00;master;router;2.4GHz;TestWLAN-2G;1;0;;
90;3;1785915282.8043706;2026-08-05T07:34:42.804+00:00;master;router;5GHz;TestWLAN-5G;60;2;;
91;3;1785915282.8646507;2026-08-05T07:34:42.864+00:00;master;router;6GHz;FRITZ! Gastzugang;1;0;;
92;3;1785915283.611836;2026-08-05T07:34:43.611+00:00;master;client;5GHz;TestWLAN-5G;60;;-54;2162.0
93;3;1785915312.6703296;2026-08-05T07:35:12.670+00:00;master;router;2.4GHz;TestWLAN-2G;1;0;;
94;3;1785915312.7783532;2026-08-05T07:35:12.778+00:00;master;router;5GHz;TestWLAN-5G;60;2;;
95;3;1785915312.9328768;2026-08-05T07:35:12.932+00:00;master;router;6GHz;FRITZ! Gastzugang;1;0;;
96;3;1785915313.4726853;2026-08-05T07:35:13.472+00:00;master;client;5GHz;TestWLAN-5G;60;;-54;1922.0
